,amount_inr,txn_hour,merchant_risk_score,user_avg_txn,Label
0,869.1361587068767,11.0,38.20724004852604,1073.85996723951,legit
1,1373.0929090121417,19.0,30.59694788070395,5735.68341623636,legit
2,923.5040229514013,20.0,36.70566844681895,3644.5122294995413,legit
3,1309.597439442459,20.0,33.547780846579755,1335.5974162002187,legit
4,2011.7261913701227,21.0,15.85481330452991,4748.4041593341135,legit
5,332.2677328849312,15.0,33.25024268606029,4025.1861510295794,legit
6,1839.881647769013,7.0,34.30925072211309,1173.6550652319954,legit
7,1661.8478345804772,17.0,17.31402802279096,2718.745023089972,legit
8,411.87684804462515,16.0,29.79012077711403,3167.7078194694295,legit
9,1550.0979546126637,18.0,31.6147073487506,1964.528969124889,legit
10,2094.7922418513485,18.0,17.44512215526047,2053.605220014577,legit
11,1708.418251142065,9.0,45.19395256810316,3558.9604033883497,legit
12,50.0,13.0,25.07371210280193,2450.321384371349,legit
13,648.7079645019204,8.0,20.796583547894013,3688.222951647201,legit
14,2005.8220828836756,11.0,23.070242395801348,100.0,legit
15,1167.6020313928827,11.0,30.369275661574232,4879.5075054787085,legit
16,601.9420145153006,14.0,35.38176040397156,5058.8503509288,legit
17,1104.7394471087182,7.0,36.14191725134884,3685.0711240855094,legit
18,1883.0831155868477,9.0,19.70289308085396,3256.7173912857156,legit
19,551.5485949936104,20.0,34.72304847874513,3003.176847632397,legit
20,778.0738066351596,10.0,14.482109877248233,787.41324584514,legit
21,1186.5893931277449,16.0,25.10479887008675,1330.901330510357,legit
22,1733.0544316184046,21.0,10.89355599106655,2527.0477241927174,legit
23,326.28087489735447,11.0,29.162988971856798,5333.270499691885,legit
24,822.9887025101899,12.0,36.60079307695486,3109.540951560369,legit
25,989.5349995309193,10.0,9.542644859776583,2164.7215602224105,legit
26,451.32515135241476,7.0,33.046658166868625,2246.6938622697503,legit
27,899.6503649555345,19.0,31.166025703249638,4879.759002448049,legit
28,1839.589712634022,15.0,39.6684202999912,4363.49988892003,legit
29,1436.5111747274561,13.0,33.781487233576165,1084.2039222439355,legit
30,2182.492297240593,18.0,5.46763486852025,3059.417275172409,legit
